percent_suspended,percent_expelled,percent_committed_zero_tolerance,graduation rate,dropout_rate,number of students total,percentage of ready graduates,participation_rate,average_english_score,average_math_score,average_reading_score,average_science_score,average_composite_score,percent_scoring_21_or_higher,district_name_label,percent_scoring_below_19,pct_chronically_absent,percent_retained,low_act_school
2.5,0.0,0.5,96.1,1.4,280.0,50.0,100,19.8,19.3999999999999,20.7,20.1,20.1,42.8,2,42.8,16.9,91.0,False
6.9,0.0,0.4,95.2,3.7,272.0,35.7,100,18.3,18.0,19.1,19.1,18.8,32.2,2,53.9,20.8,88.3,False
8.4,0.0,0.9,92.1,6.6,304.0,65.5,97,23.0,22.2,24.2,23.2,23.3,64.3,80,23.9,17.0,94.6,False
0.7,0.0,0.0,98.2,0.9,114.0,45.6,99,20.7,19.5,21.3,21.1,20.8,46.8,4,34.2,18.3,84.8,False
3.6,0.0,0.4,88.7,8.7,390.0,24.9,96,17.3,18.1,18.5,18.5,18.3,27.8,4,62.5,14.8,76.7,True
0.3,0.0,1.3,91.4,6.2,128.0,31.3,98,18.5,17.8999999999999,19.6,19.3999999999999,19.0,34.7999999999999,4,53.0,14.3,93.9,False
0.0,0.2,0.0,94.3,5.0,140.0,27.9,97,18.2,18.6,19.5,19.8999999999999,19.2,28.9,5,53.1,12.8,90.9,False
2.9,0.0,0.2,93.3,3.3,120.0,32.5,96,17.7,18.0,18.5,18.5,18.3,29.6,6,57.4,24.1,92.3,True
3.5,0.2,1.3,92.8,3.5,346.0,31.5,100,18.6,18.5,19.0,18.7,18.8,32.2,7,51.6,14.8,90.3,False
5.4,0.1,1.9,93.3,4.9,447.0,38.5,97,19.6,19.6,20.2,19.8999999999999,19.8999999999999,41.2,7,46.9,14.7,87.4,False
7.4,0.6,2.1,98.8,0.6,172.0,59.3,100,21.1,20.0,21.6,20.9,21.1,53.5,0,32.9,10.9,94.2,False
2.8,0.0,1.2,92.3,5.1,389.0,51.2,99,19.1,18.5,19.8999999999999,19.3,19.3,39.2999999999999,8,47.5,21.5,88.7,False
2.4,0.0,0.4,95.8,3.4,380.0,61.3,100,21.6,20.9,22.4,21.3,21.7,57.4,8,30.5,10.3,85.4,False
4.8,0.0,0.5,90.0,5.6,409.0,43.3,96,19.8999999999999,19.6,21.3,20.7,20.5,45.5,17,42.9,16.1,83.0,False
8.1,0.0,0.1,91.1,0.9,316.0,30.1,100,17.8,17.6,19.2,18.0,18.3,29.6,10,55.4,25.8,83.5,False
