district_name,school_name,zipcode,longitude,latitude,pct_chronically_absent_2020,percent_ca2019,percent_ca_2018,admin,teacher,percent_retained,pool,score_achievement,score_growth,score_absenteeism,students_total_2020,enrollment_2019,enrollment_2018
Shelby County Schools,American Way Middle,38118,-89.92426,35.048455,18.4,25.8,12.5,3,43,20.4,K8,1.1,0.6,0.2,824,739,705
Metro Nashville Public Schools,Ida B. Wells Elementary,37207,-86.77317,36.215535,23,17.4,20.6,1,25,21.1,K8,1.2,1.3,4,313,282,234
Achievement School District,Westside Middle School,38127,-90.00646,35.223796,24.4,34.8,27.7,2,16,22.7,K8,0.4,2,0.3,381,296,296
Shelby County Schools,Oakshire Elementary,38116,-90.01128,35.03319,19.7,23.9,10.4,3,29,24.2,K8,2,2,0,402,345,373
Metro Nashville Public Schools,KIPP Nashville Collegiate High School,37207,-86.77317,36.215535,14.3,14.7,19.8,3,28,26.7,HS,2,0.5,4,491,387,333
Shelby County Schools,Robert R. Church Elementary,38116,-90.01128,35.03319,18.2,7.3,11.4,3,50,30.4,K8,4,3.7,4,797,695,724
Shelby County Schools,Power Center Academy High School,38115,-89.86291,35.057311,12,15.4,33.2,4,27,33.3,HS,1.9,1.3,4,675,581,648
Achievement School District,Aspire Hanley Middle School,38114,-89.98543,35.101525,31.8,34,35.1,1,6,33.3,K8,2.3,2.6,2.4,283,239,225
Metro Nashville Public Schools,Cumberland Elementary,37218,-86.85215,36.206755,23.7,22.5,27.3,1,21,35.9,K8,1.2,4,4,385,280,351
Metro Nashville Public Schools,Joelton Middle,37080,-86.90949,36.329551,20.3,27,26.3,3,16,36,K8,1,1,2.3,464,326,323
Shelby County Schools,DuBois Elementary School of Entrepreneurship,38125,-89.80329,35.035466,26.8,20.3,3.7,1,9,38.5,K8,2.4,2.8,0.2,378,239,307
Shelby County Schools,Power Center Academy Elementary School,38115,-89.86291,35.057311,16.7,16.6,18.1,4,14,38.5,K8,0,0.4,3,942,639,534
Bristol City Schools,Tennessee Online Public School,37620,-82.16869,36.561341,7.8,15.9,20.3,1,3,40,HS,4,4,4,208,216,224
Metro Nashville Public Schools,Hattie Cotton Elementary,37206,-86.74176,36.180806,18.5,18.6,18.2,2,22,40.6,K8,2,3,2.6,263,241,262
Shelby County Schools,Larose Elementary,38126,-90.04359,35.126469,43.3,33.2,20,1,25,41.4,K8,0,0,0,311,284,293
Metro Nashville Public Schools,John Early Middle,37208,-86.80252,36.174806,29,25.6,31.7,2,18,41.7,K8,1.1,1.1,4,401,275,355
Metro Nashville Public Schools,Buena Vista Elementary,37208,-86.80252,36.174806,32.5,24.9,28.5,1,23,41.9,K8,2,2.1,3.7,273,205,251
Hamilton County Schools,Calvin Donaldson Environmental Science Academy,37410,-85.31407,35.002342,13.9,14.6,17.6,2,33,42.1,K8,3,3.7,3.8,516,438,436
Metro Nashville Public Schools,Jere Baxter Middle,37207,-86.77317,36.215535,24.2,17.9,27.3,3,14,42.3,K8,1.2,0.3,3.8,377,260,293
Metro Nashville Public Schools,Warner Elementary,37206,-86.74176,36.180806,24.5,27.1,31,1,19,42.4,K8,2,4,4,232,204,270
Shelby County Schools,A. B. Hill Elementary,38106,-90.04017,35.103019,9.9,16,13.8,1,29,42.4,K8,3,4,2.3,440,245,256
Metro Nashville Public Schools,Cane Ridge Elementary,37013,-86.64782,36.055115,10.9,10.4,16.2,2,43,42.7,K8,3.1,4,4,743,549,1018
Metro Nashville Public Schools,KIPP Academy Nashville,37207,-86.77317,36.215535,9.5,9.3,18.7,2,18,44.4,K8,2.9,4,4,420,370,363
Achievement School District,Neely's Bend: A LEAD Public School,37115,-86.70566,36.264069,17.5,17,18.3,3,28,44.4,K8,1.1,2.9,3.1,626,499,444
Hamilton County Schools,East Lake Academy Of Fine Arts,37407,-85.28673,35.000825,11.7,10,8.7,2,48,44.9,K8,1.2,2.2,2.5,655,611,588
Shelby County Schools,Levi Elementary,38109,-90.07523,35.050286,28.5,16.7,19,1,30,45.2,K8,4,4,3.1,506,429,432
Shelby County Schools,Woodstock Middle School,38053,-89.90668,35.347965,9.7,24.1,24,2,19,45.5,K8,1,0,2.3,390,292,267
Shelby County Schools,KIPP Memphis Collegiate Middle,38108,-89.96028,35.174165,18.3,30.8,2.4,3,18,45.8,K8,1.1,1.6,0,377,323,342
Shelby County Schools,Newberry Elementary,38115,-89.86291,35.057311,17.8,8.7,5.9,1,32,45.9,K8,2.8,3.5,3,490,464,459
Achievement School District,Brick Church: A LEAD Public School,37207,-86.77317,36.215535,17.7,21.9,21.4,4,18,46.7,K8,1.3,4,2.3,448,305,327
