district_name,index,school_name,zipcode,longitude,latitude,students_enrolled,number_of_teachers,percent_ca,percent_retained,pool,score_achievement
Anderson County Schools,0,Anderson County High School,37716,-84.14656,36.099283,1075.0,53,15.1,91.0,HS,2.6
Anderson County Schools,1,Andersonville Elementary,37705,-84.01131,36.217896,304.0,24,8.6,58.1,K8,4.0
Anderson County Schools,2,Briceville Elementary,37710,-84.28968,36.15231,117.0,11,9.4,60.0,K8,2.0
Anderson County Schools,3,Claxton Elementary,37849,-84.04192,36.044507,443.0,35,14.4,63.0,K8,2.0
Anderson County Schools,4,Clinton Middle School,37716,-84.14656,36.099283,664.0,41,20.8,77.6,K8,1.7
Anderson County Schools,5,Clinton High School,37716,-84.14656,36.099283,1120.0,68,17.8,88.3,HS,2.9
Anderson County Schools,6,Dutch Valley Elementary,37716,-84.14656,36.099283,101.0,8,11.9,75.0,K8,2.0
Anderson County Schools,7,Fairview Elementary,37754,-84.03142,36.138832,291.0,22,4.6,93.9,K8,3.8
Anderson County Schools,71,Grand Oaks Elementary,37716,-84.14656,36.099283,258.0,20,10.9,56.7,K8,3.6
Anderson County Schools,72,Lake City Elementary,37769,-84.14984,36.221786,419.0,34,14.1,81.1,K8,2.8
Anderson County Schools,73,Lake City Middle School,37769,-84.14984,36.221786,292.0,22,16.4,85.7,K8,1.8
Anderson County Schools,74,Norris Elementary,37828,-84.07017,36.190257,220.0,20,2.8,72.2,K8,4.0
Anderson County Schools,75,Norris Middle School,37828,-84.07017,36.190257,486.0,29,10.5,63.9,K8,2.6
Anderson County Schools,76,Norwood Elementary,37840,-84.36685,36.045663,230.0,18,9.2,73.1,K8,2.0
Anderson County Schools,84,Norwood Middle School,37840,-84.36685,36.045663,183.0,16,14.0,65.0,K8,2.8
Clinton City School District,85,Clinton Elementary,37716,-84.14656,36.099283,521.0,33,7.3,87.2,K8,3.6
Clinton City School District,86,North Clinton Elementary,37716,-84.14656,36.099283,144.0,13,18.3,88.2,K8,2.0
Clinton City School District,87,South Clinton Elementary,37716,-84.14656,36.099283,252.0,21,6.2,91.7,K8,3.2
Oak Ridge City Schools,88,Glenwood Elementary,37830,-84.27044,35.992691,409.0,29,9.8,97.1,K8,3.4
Oak Ridge City Schools,96,Jefferson Middle School,37830,-84.27044,35.992691,719.0,49,10.1,86.4,K8,3.0
Oak Ridge City Schools,104,Linden Elementary,37830,-84.27044,35.992691,430.0,31,8.4,93.1,K8,3.0
Oak Ridge City Schools,112,Oak Ridge High School,37830,-84.27044,35.992691,1406.0,98,17.5,94.6,HS,2.7
Oak Ridge City Schools,113,Robertsville Middle School,37830,-84.27044,35.992691,750.0,53,14.3,76.7,K8,2.5
Oak Ridge City Schools,114,Willow Brook Elementary,37830,-84.27044,35.992691,361.0,29,8.6,89.7,K8,1.4
Oak Ridge City Schools,115,Woodland Elementary,37830,-84.27044,35.992691,421.0,33,5.3,87.9,K8,3.8
Bedford County Schools,142,Cascade Elementary,37183,-86.30889,35.508541,570.0,38,4.8,90.5,K8,3.6
Bedford County Schools,143,Cascade High School,37183,-86.30889,35.508541,481.0,32,17.1,84.8,HS,2.0
Bedford County Schools,144,Eakin Elementary,37160,-86.45974,35.47066,616.0,39,8.6,83.0,K8,1.3
Bedford County Schools,152,Cascade Middle School,37183,-86.30889,35.508541,411.0,19,11.1,86.4,K8,2.4
Bedford County Schools,153,Shelbyville Central High School,37160,-86.45974,35.47066,1506.0,79,16.9,76.7,HS,1.1
