Key,Dist,District ID,District Name,School ID,School Name,Enrollment,Total School Per Pupil Expenditures,Total Expenditures Per School,Local Percentage,Federal Percentage,State Percentage,Year,,
010 9999,10,10,Anderson County,9999,District Average/Total,6141,10440.46,10440.46,38.99%,14.35%,46.66%,2020,,
011 9999,11,11,Clinton,9999,District Average/Total,934,10111.35,10111.35,43.48%,8.94%,47.58%,2020,,
012 9999,12,12,Oak Ridge,9999,District Average/Total,4565,13041.51,13041.51,54.76%,8.48%,36.76%,2020,,
020 9999,20,20,Bedford County,9999,District Average/Total,8768,8263.84,8263.84,18.23%,12.57%,69.19%,2020,,
030 9999,30,30,Benton County,9999,District Average/Total,2067,10628.28,10628.28,29.21%,10.59%,60.20%,2020,,
040 9999,40,40,Bledsoe County,9999,District Average/Total,1627,10683.45,10683.45,15.66%,17.22%,67.12%,2020,,
050 9999,50,50,Blount County,9999,District Average/Total,10470,9636.79,9636.79,46.62%,8.47%,44.91%,2020,,
051 9999,51,51,Alcoa,9999,District Average/Total,2075,11538.45,11538.45,51.49%,9.43%,39.08%,2020,,
052 9999,52,52,Maryville,9999,District Average/Total,5368,10705.27,10705.27,54.25%,5.19%,40.56%,2020,,
060 9999,60,60,Bradley County,9999,District Average/Total,9943,8613.96,8613.96,31.23%,10.83%,57.94%,2020,,
061 9999,61,61,Cleveland,9999,District Average/Total,5588,9718.14,9718.14,35.31%,10.85%,53.85%,2020,,
070 9999,70,70,Campbell County,9999,District Average/Total,5160,9238.73,9238.73,20.30%,18.50%,61.20%,2020,,
080 9999,80,80,Cannon County,9999,District Average/Total,1932,9201.13,9201.13,25.38%,10.14%,64.49%,2020,,
090 9999,90,90,Carroll County,9999,District Average/Total,2,,,41.86%,0.00%,58.14%,2020,,
092 9999,92,92,Hollow Rock-Br,9999,District Average/Total,618,9122.82,9122.82,18.65%,13.02%,68.34%,2020,,
093 9999,93,93,Huntingdon,9999,District Average/Total,1279,9049.66,9049.66,22.86%,12.82%,64.32%,2020,,
094 9999,94,94,Mckenzie,9999,District Average/Total,1217,8715.6,8715.6,21.45%,11.46%,67.08%,2020,,
095 9999,95,95,S. Carroll,9999,District Average/Total,330,9618.95,9618.95,24.19%,11.52%,64.28%,2020,,
097 9999,97,97,W. Carroll,9999,District Average/Total,899,9521.44,9521.44,23.68%,13.96%,62.36%,2020,,
100 9999,100,100,Carter County,9999,District Average/Total,4856,9899.07,9899.07,25.11%,13.35%,61.54%,2020,,
101 9999,101,101,Elizabethton,9999,District Average/Total,2483,10155.56,10155.56,34.47%,10.00%,55.53%,2020,,
110 9999,110,110,Cheatham County,9999,District Average/Total,5882,8384.34,8384.34,30.38%,8.81%,60.81%,2020,,
120 9999,120,120,Chester County,9999,District Average/Total,2778,8623.28,8623.28,16.33%,10.52%,73.15%,2020,,
130 9999,130,130,Claiborne County,9999,District Average/Total,3971,10144.96,10144.96,25.27%,16.44%,58.29%,2020,,
140 9999,140,140,Clay County,9999,District Average/Total,1041,9974.05,9974.05,18.55%,14.11%,67.34%,2020,,
150 9999,150,150,Cocke County,9999,District Average/Total,4391,9543.4,9543.4,23.61%,16.95%,59.44%,2020,,
151 9999,151,151,Newport,9999,District Average/Total,638,10220.03,10220.03,27.04%,16.00%,56.96%,2020,,
160 9999,160,160,Coffee County,9999,District Average/Total,4169,9740.91,9740.91,41.58%,10.03%,48.39%,2020,,
161 9999,161,161,Manchester,9999,District Average/Total,1393,11053.54,11053.54,41.48%,9.78%,48.74%,2020,,
162 9999,162,162,Tullahoma,9999,District Average/Total,3509,10570.4,10570.4,46.78%,9.56%,43.66%,2020,,
170 9999,170,170,Crockett County,9999,District Average/Total,1948,8546.2,8546.2,13.87%,11.61%,74.52%,2020,,
171 9999,171,171,Alamo,9999,District Average/Total,575,8579.2,8579.2,10.57%,6.98%,82.45%,2020,,
172 9999,172,172,Bells,9999,District Average/Total,366,9352.03,9352.03,12.36%,12.82%,74.82%,2020,,
180 9999,180,180,Cumberland County,9999,District Average/Total,7014,8986.36,8986.36,30.25%,14.33%,55.42%,2020,,
190 9999,190,190,Davidson County,9999,District Average/Total,82300,12317.65,12317.65,61.03%,8.71%,30.25%,2020,,
200 9999,200,200,Decatur County,9999,District Average/Total,1512,9139.33,9139.33,24.97%,12.08%,62.96%,2020,,
210 9999,210,210,Dekalb County,9999,District Average/Total,2830,8738.72,8738.72,18.29%,15.20%,66.51%,2020,,
220 9999,220,220,Dickson County,9999,District Average/Total,8021,9378.14,9378.14,36.35%,9.45%,54.20%,2020,,
230 9999,230,230,Dyer County,9999,District Average/Total,3749,9721.18,9721.18,31.61%,9.81%,58.57%,2020,,
231 9999,231,231,Dyersburg,9999,District Average/Total,2449,11016.6,11016.6,33.20%,12.63%,54.17%,2020,,
240 9999,240,240,Fayette County,9999,District Average/Total,3262,10033.62,10033.62,29.04%,16.74%,54.22%,2020,,
250 9999,250,250,Fentress County,9999,District Average/Total,2081,9293.13,9293.13,18.76%,14.11%,67.13%,2020,,
