district_name,percent_ca,percent_retained,score_achievement,zipcode,countyname,street_address_1,city,longitude,latitude,district_ppe,local_funding_percent,state_funding_percent,federal_funding_percent
Achievement School District,27.065517241379318,52.18275862068966,1.2620689655172415,37243,Shelby County,710 James Robertson Pkwy,Nashville,-86.784498,36.167606,10563.99,2.53,81.66,15.81
Alamo City School District,6.6,78.7,3.6,38001,Crockett County,265 East  Park St,Alamo,-89.14016,35.796157,9451.46,10.48,82.59,6.93
Alcoa City Schools,5.166666666666667,96.03333333333335,3.1,37701,Blount County,524 Faraday St,Alcoa,-83.97956,35.784708,11394.86,52.67,40.69,6.64
Anderson County Schools,12.033333333333333,73.64000000000001,2.7066666666666666,37716,Anderson County,101 South Main St,Clinton,-84.14656,36.099283,10353.68,36.73,47.1,16.17
Arlington Municipal School District,3.3499999999999996,86.0,3.525,38002,Shelby County,12060 Arlington Trl,Arlington,-89.71198,35.272386,8954.06,49.97,44.69,5.34
Athens City Schools,6.0,78.46666666666665,2.966666666666667,37303,McMinn County,943  Crestway  Dr,Athens,-84.61975,35.441378,10691.96,34.55,51.06,14.39
Bartlett Municipal School District,7.200000000000001,86.26,3.44,38134,Shelby County,5705 Stage Rd,Bartlett,-89.86559,35.193046,9510.91,47.93,44.12,7.95
Bedford County Schools,12.192857142857141,86.20714285714287,2.107142857142857,37160,Bedford County,500  Madison  St,Shelbyville,-86.45974,35.47066,8209.35,30.37,59.1,10.53
Bells City School District,5.5,93.8,3.8,38006,Crockett County,4547 Hwy  88 South,Bells,-89.08457,35.696656,9315.01,12.8,74.27,12.93
Benton School System,8.579999999999998,92.6,2.12,38320,Benton County,197  Briarwood  St,Camden,-88.10137,36.050286,10130.96,30.99,57.5,11.52
Bledsoe County Schools,11.76,91.68,2.4,37367,Bledsoe County,478 Spring St,Pikeville,-85.17161,35.635097,10799.67,16.46,69.3,14.24
Blount County Schools,7.7631578947368425,84.43684210526315,2.589473684210527,37803,Blount County,831  Grandview  Dr,Maryville,-83.98412,35.693358,9597.4,43.85,46.59,9.56
Bradford Special School District,6.35,85.35,3.2,38316,Gibson County,106 W Front St,Bradford,-88.81209,36.067294,9821.32,25.07,62.73,12.2
Bradley County Schools,10.292857142857143,85.69285714285715,2.4499999999999997,37311,Bradley County,800  South  Lee Hwy,Cleveland,-84.88723,35.146362,8410.02,31.37,57.52,11.11
