district_name,zipcode,longitude,latitude,Total_School_Per_Pupil_Expenditures,Total_Expenditures_Per_School,Local_Percentage,Federal_Percentage,State_Percentage,students_total,percent_suspended,percent_expelled,percent_committed_zero_tolerance,graduation rate ,dropout_rate,number of students total,percentage of ready graduates,participation_rate,average_english_score,average_math_score,average_reading_score,average_science_score,average_composite_score,percent_scoring_21_or_higher,percent_scoring_below_19
Anderson County,37716,-84.14656,36.099283,10440.46,10440.46,38.99,14.35,46.66,1169.5,4.7,0.0,0.45,95.65,2.55,276.0,42.85,100.0,19.05,18.69999999999995,19.9,19.6,19.450000000000003,37.5,48.349999999999994
Oak Ridge,37831,-84.195796,36.105971,13041.51,13041.51,54.76,8.48,36.76,1578.0,8.4,0.0,0.9,92.1,6.6,304.0,65.5,97.0,23.0,22.2,24.2,23.2,23.3,64.3,23.9
Bedford County,37160,-86.45974,35.47066,8263.84,8263.84,18.23,12.57,69.19,910.6666666666666,1.5333333333333332,0.0,0.5666666666666668,92.76666666666667,5.266666666666667,210.66666666666666,33.93333333333333,97.66666666666667,18.833333333333332,18.499999999999968,19.8,19.666666666666632,19.366666666666667,36.46666666666663,49.9
Benton County,38320,-88.10137,36.050286,10628.28,10628.28,29.21,10.59,60.2,426.0,0.0,0.1,0.0,47.15,2.5,80.0,26.45,98.5,17.15,18.15,18.69999999999995,19.44999999999995,18.549999999999947,26.95,54.05
Bledsoe County,37367,-85.17161,35.635097,10683.45,10683.45,15.66,17.22,67.12,547.0,2.9,0.0,0.2,93.3,3.3,120.0,32.5,96.0,17.7,18.0,18.5,18.5,18.3,29.6,57.4
Blount County,37803,-83.98412,35.693358,9636.79,9636.79,46.62,8.47,44.91,1665.0,4.45,0.15000000000000002,1.6,93.05,4.2,396.5,35.0,98.5,19.1,19.05,19.6,19.299999999999947,19.34999999999995,36.7,49.25
Alcoa,37701,-83.97956,35.784708,11538.45,11538.45,51.49,9.43,39.08,712.0,7.4,0.6,2.1,98.8,0.6,172.0,59.3,100.0,21.1,20.0,21.6,20.9,21.1,53.5,32.9
Maryville,37803,-83.98412,35.693358,10705.27,10705.27,54.25,5.19,40.56,1234.0,7.1,0.0,0.4,94.5,2.9,420.0,66.0,99.0,23.6,22.8,23.6,23.3,23.5,70.0999999999999,20.3
Bradley County,37311,-84.88723,35.146362,8613.96,8613.96,31.23,10.83,57.94,856.25,1.2999999999999998,0.0,0.4,92.075,7.074999999999999,206.5,43.075,99.75,18.375,18.225,19.549999999999976,18.825000000000003,18.875,40.424999999999976,53.25
Cleveland,37312,-84.86489,35.219532,9718.14,9718.14,35.31,10.85,53.85,1824.0,4.8,0.0,0.5,90.0,5.6,409.0,43.3,96.0,19.8999999999999,19.6,21.3,20.7,20.5,45.5,42.9
